Date,Predicted Water M3,Predicted Heat MWH
2023-05-09,3.4733288996422327,0.305000008
2023-05-10,3.4733288996422234,0.305000008
2023-05-11,3.4733288996422367,0.305000008
2023-05-12,3.4733288996422464,0.305000008
2023-05-13,3.4733288996422416,0.305000008
2023-05-14,3.473328899642234,0.305000008
2023-05-15,3.473328899642235,0.305000008
2023-05-16,3.47332889964224,0.305000008
2023-05-17,3.473328899642241,0.305000008
2023-05-18,3.4733288996422385,0.305000008
2023-05-19,3.473328899642237,0.305000008
2023-05-20,3.4733288996422385,0.305000008
2023-05-21,3.47332889964224,0.305000008
2023-05-22,3.4733288996422393,0.305000008
2023-05-23,3.4733288996422385,0.305000008
2023-05-24,3.4733288996422385,0.305000008
2023-05-25,3.473328899642239,0.305000008
2023-05-26,3.473328899642239,0.305000008
2023-05-27,3.4733288996422385,0.305000008
